CustID,EducDeg,MonthSal,GeoLivArea,Children,CustMonVal,ClaimsRate,PremMotor,PremHousehold,PremHealth,PremLife,PremWork,Age,FirstPolAge,PremTotal
17.0,2,2437.0,1.0,1.0,100.58,0.89,119.8,647.35,168.92,125.58,37.23,27.0,2.0,1098.8799999999999
18.0,3,2728.0,4.0,1.0,78.91,0.85,446.64,107.8,86.35,3.89,27.56,46.0,11.0,672.2399999999999
19.0,1,1414.0,3.0,1.0,230.38,0.71,313.17,373.4,121.8,14.78,72.57,34.0,-1.0,895.7199999999998
20.0,4,2751.0,1.0,1.0,352.96,0.36,402.41,9.45,125.69,24.45,30.56,54.0,26.0,592.56
21.0,4,1704.0,4.0,1.0,373.73,0.39,329.84,65.0,221.93,3.89,33.34,30.0,0.0,654.0
22.0,2,2541.2,3.0,1.0,111.37,0.8,407.52,111.7,100.13,24.67,30.34,58.0,19.0,674.36
23.0,2,1495.0,1.0,1.0,-89.79,1.08,209.04,308.95,192.48,64.79,54.9,30.0,-10.0,830.16
24.0,2,2870.0,4.0,1.0,290.05,0.64,222.04,329.5,248.38,48.01,33.56,55.0,37.0,881.49
25.0,3,3201.0,4.0,0.0,108.13,0.81,420.3,128.35,135.58,15.67,4.78,64.0,36.0,704.68
26.0,4,3776.0,2.0,0.0,376.3,0.41,383.74,103.9,154.14,17.56,15.78,72.0,30.0,675.1199999999999
27.0,4,4281.0,3.0,0.0,430.86,0.38,330.84,162.8,228.82,-5.0,22.78,79.0,41.0,740.24
28.0,4,3619.0,1.0,0.0,-7.22,0.97,449.75,58.9,112.91,17.78,9.78,74.0,37.0,649.1199999999999
29.0,3,3639.0,4.0,0.0,264.17,0.5,301.28,18.9,258.05,-4.0,-0.11,64.0,43.0,574.12
30.0,3,2660.0,3.0,0.0,2.0,0.96,524.21,25.0,54.9,7.0,-5.0,44.0,8.0,606.11
31.0,2,2148.0,4.0,1.0,427.76,0.19,483.09,-15.0,92.24,3.89,-5.11,41.0,13.0,559.1099999999999
32.0,2,3490.0,4.0,0.0,240.16,0.69,320.95,335.05,146.25,46.12,9.67,63.0,31.0,858.04
33.0,3,2126.0,4.0,1.0,-2.44,0.96,473.09,19.45,89.24,4.78,7.89,46.0,19.0,594.4499999999999
34.0,2,1601.0,1.0,1.0,-5.55,0.97,373.96,19.45,179.7,22.56,10.89,37.0,8.0,606.5599999999998
35.0,3,3662.0,3.0,0.0,336.07,0.48,320.84,123.35,131.58,40.23,72.68,71.0,34.0,688.6800000000001
36.0,2,2420.0,3.0,0.0,53.8,0.89,241.49,190.6,125.8,111.8,65.79,50.0,24.0,735.4799999999999
37.0,2,2401.0,4.0,1.0,7.24,0.94,320.95,-25.55,145.25,26.56,84.35,44.0,10.0,551.56
38.0,2,3343.0,1.0,0.0,-31.78,1.01,495.87,68.9,68.57,3.0,9.78,61.0,21.0,646.1199999999999
39.0,2,3985.0,3.0,0.0,-14.22,0.98,104.02,142.8,357.18,53.01,40.23,75.0,44.0,697.24
40.0,3,3858.0,1.0,0.0,-1.55,0.96,334.84,63.35,207.04,17.67,5.78,78.0,42.0,628.68
41.0,2,1177.0,4.0,1.0,121.36,0.84,52.01,455.65,135.47,146.36,148.03,21.0,-1.0,937.52
42.0,3,3256.0,1.0,1.0,402.63,0.47,265.05,270.6,130.47,108.02,25.34,61.0,33.0,799.4800000000001
43.0,2,2116.0,4.0,1.0,710.8,0.19,323.84,383.4,168.92,3.0,25.56,48.0,26.0,904.7199999999999
44.0,2,1353.0,2.0,1.0,-77.01,1.07,159.14,249.5,284.61,52.01,23.34,34.0,12.0,768.6
45.0,3,1065.0,1.0,1.0,-128.68,1.19,111.8,-35.0,208.26,224.71,44.23,26.0,-5.0,554.0
46.0,3,1937.0,3.0,1.0,624.34,0.38,139.58,540.1,180.59,106.13,75.79,32.0,7.0,1042.19
47.0,3,1219.0,4.0,1.0,-94.9,1.08,269.94,300.6,143.25,59.79,69.9,30.0,-10.0,843.4799999999999
48.0,2,4233.0,3.0,0.0,279.28,0.63,254.38,265.6,209.04,72.68,22.78,78.0,39.0,824.48
49.0,3,2381.0,3.0,1.0,-132.88,1.2,468.09,-45.55,92.24,1.89,14.89,42.0,11.0,531.56
50.0,2,2660.0,1.0,1.0,-21.11,0.99,396.74,18.9,166.92,16.78,3.89,38.0,8.0,603.2299999999999
51.0,3,1569.0,4.0,1.0,420.64,0.32,435.75,102.25,105.02,4.78,9.89,37.0,4.0,657.6899999999999
53.0,3,1960.0,3.0,1.0,-104.21,1.14,360.4,-40.55,212.04,12.78,10.89,32.0,2.0,555.56
54.0,2,1148.0,1.0,1.0,-11.33,0.98,177.59,236.7,295.61,44.12,30.45,36.0,3.0,784.47
55.0,3,3441.0,3.0,0.0,264.5,0.59,305.17,157.25,227.6,12.89,2.78,70.0,47.0,705.6899999999999
56.0,3,2885.0,2.0,1.0,-15.22,0.98,559.66,44.45,17.56,-1.11,10.89,50.0,29.0,631.4499999999999
57.0,3,2234.0,4.0,1.0,540.55,0.13,569.55,30.0,36.45,6.0,10.0,51.0,30.0,652.0
58.0,2,3538.0,4.0,0.0,294.94,0.66,207.93,452.3,155.25,69.68,62.68,67.0,43.0,947.84
59.0,2,2920.0,2.0,1.0,448.98,0.41,286.61,260.05,168.92,72.68,16.78,60.0,22.0,805.04
60.0,2,2195.0,3.0,1.0,120.48,0.81,341.73,249.5,84.35,52.9,51.12,32.0,13.0,779.6
61.0,3,4109.0,4.0,1.0,226.93,0.68,278.83,246.15,217.82,30.34,5.78,73.0,40.0,778.92
62.0,2,1823.0,1.0,1.0,224.5,0.68,304.17,249.5,165.81,36.34,15.78,38.0,15.0,771.6
63.0,3,3762.0,3.0,1.0,-67.32,1.08,464.2,-25.55,89.24,3.89,8.78,59.0,24.0,540.56
64.0,2,3259.0,4.0,1.0,314.51,0.61,364.18,343.95,86.46,23.45,48.12,49.0,20.0,866.1600000000001
65.0,3,2294.0,3.0,0.0,-124.32,1.19,452.53,-45.55,104.91,17.78,-4.11,43.0,9.0,525.56
66.0,3,3760.0,1.0,0.0,132.27,0.78,276.83,175.6,261.27,6.89,-6.11,75.0,57.0,714.4799999999999
67.0,3,2544.0,3.0,1.0,-25.0,1.0,366.07,78.35,165.81,16.56,7.89,48.0,16.0,634.68
68.0,2,1866.0,1.0,1.0,-90.01,1.06,152.03,530.65,202.26,32.34,97.35,32.0,5.0,1014.63
69.0,2,1399.0,4.0,1.0,476.65,0.33,330.73,186.7,211.15,33.784,15.78,39.0,6.0,778.144
70.0,3,2119.0,4.0,1.0,316.98,0.36,384.63,-40.55,151.03,20.56,17.89,32.0,5.0,533.56
71.0,2,3382.0,2.0,0.0,83.9,0.84,183.48,108.9,252.38,65.68,79.68,64.0,42.0,690.1200000000001
72.0,3,1159.0,4.0,1.0,195.82,0.72,150.03,236.7,286.61,70.79,33.23,27.0,-4.0,777.36
73.0,3,3206.0,4.0,1.0,-25.0,1.0,213.15,217.25,242.6,56.9,59.9,65.0,39.0,789.8
74.0,2,2336.0,1.0,1.0,272.61,0.63,246.49,264.5,223.71,51.12,20.78,60.0,37.0,806.6
75.0,2,1440.0,1.0,1.0,-25.0,1.0,436.75,65.0,140.47,12.89,0.89,36.0,5.0,656.0
76.0,3,2934.0,4.0,1.0,234.83,0.66,289.5,211.7,217.82,22.67,29.67,60.0,40.0,771.3599999999999
77.0,3,4196.0,4.0,0.0,747.03,0.2,183.48,471.75,190.37,43.12,73.68,67.0,47.0,962.4000000000001
78.0,2,3284.0,4.0,1.0,74.45,0.85,290.61,99.45,180.59,51.9,50.01,54.0,22.0,672.56
79.0,4,3091.0,3.0,1.0,-50.31,1.04,429.86,-6.1,141.47,6.89,-3.11,65.0,27.0,569.01
80.0,3,3901.0,4.0,0.0,352.96,0.42,342.73,83.35,150.25,48.12,30.23,68.0,30.0,654.6800000000001
81.0,1,2318.0,4.0,1.0,14.34,0.95,355.51,304.5,136.58,39.34,21.67,55.0,19.0,857.6
82.0,2,1431.0,3.0,1.0,274.19,0.46,368.07,-25.55,163.81,29.56,17.78,34.0,4.0,553.67
83.0,2,3234.0,2.0,1.0,308.31,0.35,463.31,-65.0,104.02,0.89,5.78,54.0,30.0,508.99999999999994
84.0,3,1792.0,1.0,1.0,423.53,0.33,291.39,132.25,209.93,30.56,5.67,31.0,10.0,669.7999999999998
85.0,2,2656.0,3.0,1.0,-47.67,1.03,238.49,221.7,244.49,22.67,64.01,57.0,38.0,791.36
86.0,3,2479.0,3.0,0.0,317.83,0.61,399.63,344.5,114.91,7.0,8.67,48.0,8.0,874.7099999999999
87.0,3,1631.0,4.0,1.0,-19.22,0.99,326.06,307.85,166.81,7.89,5.78,28.0,6.0,814.39
88.0,3,2423.0,2.0,1.0,-46.0,1.03,581.33,55.0,17.67,-6.0,-1.0,46.0,27.0,647.0
89.0,3,1779.0,3.0,1.0,-139.11,1.21,193.26,-30.55,291.5,65.68,12.67,33.0,12.0,532.56
90.0,3,3860.0,4.0,0.0,-54.56,1.05,216.93,48.35,315.95,12.78,16.78,73.0,46.0,610.79
91.0,3,1416.0,3.0,1.0,402.18,0.4,282.61,163.35,214.04,38.23,19.45,32.0,7.0,717.6800000000001
92.0,1,3903.0,3.0,0.0,238.94,0.64,263.94,196.15,221.93,31.34,29.56,77.0,54.0,742.92
93.0,3,2976.0,1.0,1.0,-66.12,1.06,324.84,83.35,159.92,32.45,41.12,63.0,34.0,641.68
94.0,3,1986.0,4.0,1.0,400.86,0.44,393.63,192.8,136.47,11.67,20.56,37.0,3.0,755.13
95.0,4,1270.0,2.0,1.0,174.37,0.71,230.82,126.7,263.05,31.45,25.34,32.0,8.0,677.36
96.0,3,2668.0,4.0,1.0,-25.0,1.0,296.5,70.0,200.15,60.79,8.67,30.0,-10.0,636.1099999999999
97.0,3,2831.0,4.0,1.0,-91.0,1.12,520.1,-20.0,45.01,-1.0,-8.0,52.0,28.0,536.11
98.0,2,3924.0,4.0,0.0,120.47,0.81,169.81,244.5,224.82,26.56,118.91,78.0,58.0,784.5999999999999
99.0,1,3870.0,1.0,1.0,179.26,0.68,204.26,82.8,110.02,185.48,59.68,66.0,38.0,642.2399999999999
100.0,2,2805.0,1.0,1.0,14.23,0.94,427.08,142.8,104.13,1.89,37.34,49.0,17.0,713.24
101.0,2,2744.0,4.0,1.0,-55.56,1.05,424.97,69.45,133.47,23.67,6.89,56.0,17.0,658.4499999999999
102.0,1,2694.0,3.0,1.0,654.9,0.39,62.68,648.45,210.15,31.45,156.03,60.0,25.0,1108.76
103.0,2,2071.0,4.0,1.0,-25.0,1.0,190.59,317.85,188.37,6.89,118.58,36.0,1.0,822.2800000000001
104.0,3,3194.0,2.0,0.0,257.84,0.53,234.49,48.35,219.82,67.68,28.45,64.0,23.0,598.7900000000001
105.0,2,2342.0,1.0,1.0,46.12,0.89,349.4,73.9,170.92,37.23,2.78,37.0,17.0,634.2299999999999
106.0,3,2019.0,4.0,1.0,-2.65,0.97,89.24,82.25,408.41,19.56,40.34,28.0,-2.0,639.8000000000001
107.0,3,3480.0,3.0,0.0,201.82,0.71,297.61,240.6,218.82,13.78,14.67,68.0,31.0,785.4799999999999
108.0,2,3673.0,3.0,1.0,133.81,0.77,292.61,108.35,117.91,12.67,146.14,58.0,31.0,677.68
109.0,1,764.0,4.0,1.0,71.24,0.93,79.68,912.95,97.24,213.04,16.56,21.0,-4.0,1319.47
110.0,2,2126.0,3.0,1.0,317.29,0.54,368.29,158.35,189.37,22.67,-1.11,40.0,4.0,737.5699999999999
111.0,3,2039.0,4.0,1.0,385.66,0.25,482.09,-35.55,99.13,1.0,-0.11,50.0,24.0,546.56
112.0,3,3507.0,3.0,0.0,343.52,0.43,330.95,72.8,108.91,35.23,99.35,66.0,41.0,647.24
114.0,3,2257.0,3.0,1.0,231.49,0.66,285.83,182.25,231.82,29.34,29.56,45.0,22.0,758.8
115.0,3,2059.0,4.0,1.0,344.3,0.49,405.3,187.25,136.58,9.78,-12.0,43.0,19.0,726.91
116.0,2,1834.0,3.0,1.0,330.51,0.48,359.29,127.25,187.59,2.89,0.89,41.0,13.0,677.91
117.0,3,2684.0,1.0,1.0,498.54,0.14,506.54,10.0,71.68,7.89,14.89,50.0,28.0,611.0
118.0,2,3128.0,4.0,1.0,283.95,0.61,279.61,251.7,178.7,29.34,60.9,62.0,25.0,800.25
119.0,2,2181.0,3.0,1.0,525.88,0.41,142.47,437.3,246.49,43.12,70.46,56.0,18.0,939.84
120.0,3,3650.0,3.0,0.0,305.05,0.62,324.95,330.05,159.14,31.34,26.56,68.0,38.0,872.04
121.0,2,1444.0,1.0,1.0,422.18,0.56,311.17,511.75,109.02,8.89,64.57,32.0,5.0,1005.4000000000001
122.0,3,2402.0,4.0,1.0,290.17,0.57,273.94,181.7,199.15,29.45,41.23,60.0,41.0,725.47
123.0,1,1518.0,1.0,1.0,643.24,0.18,286.5,294.5,78.57,87.24,68.68,27.0,8.0,815.49
124.0,1,2957.0,1.0,1.0,68.35,0.89,230.71,343.95,152.03,93.35,36.23,57.0,32.0,856.27
125.0,3,2614.0,1.0,1.0,319.31,0.35,442.64,-50.0,130.69,11.89,-5.11,47.0,11.0,530.1099999999999
126.0,2,1412.0,1.0,1.0,180.04,0.64,240.38,3.9,227.82,66.68,35.34,26.0,1.0,574.12
127.0,2,1853.0,4.0,1.0,-21.0,0.99,478.09,108.9,94.35,9.89,13.89,49.0,10.0,705.12
128.0,2,3481.0,3.0,0.0,-19.11,1.0,132.58,750.15,168.7,71.79,65.9,64.0,26.0,1189.1200000000001
129.0,3,3971.0,1.0,0.0,23.8,0.91,202.04,-55.0,173.81,98.24,106.02,70.0,36.0,525.11
130.0,4,3272.0,1.0,1.0,93.25,0.82,437.75,87.8,83.46,37.34,6.89,63.0,26.0,653.24
131.0,2,1615.0,4.0,1.0,317.06,0.49,219.04,113.35,311.06,10.78,20.45,39.0,12.0,674.6800000000001
132.0,2,2328.0,2.0,1.0,518.1,0.12,489.87,44.45,74.57,5.0,3.78,48.0,29.0,617.6700000000001
133.0,3,1423.0,4.0,1.0,-67.23,1.06,167.92,171.7,347.51,21.56,20.67,34.0,12.0,729.3599999999999
134.0,3,3577.0,2.0,0.0,100.79,0.82,243.27,138.35,237.71,35.34,47.9,73.0,35.0,702.57
135.0,4,1810.0,2.0,1.0,543.21,0.14,490.98,79.45,86.35,-1.11,3.89,39.0,-1.0,659.5600000000001
137.0,3,2516.0,4.0,0.0,241.72,0.65,232.49,225.6,256.27,41.12,5.89,44.0,16.0,761.37
138.0,2,3799.0,4.0,0.0,456.76,0.31,354.51,127.25,105.13,104.02,9.89,63.0,41.0,700.8
139.0,2,2538.0,2.0,1.0,149.59,0.69,194.26,305.6,226.598,37.34,17.67,40.0,3.0,781.4680000000001
140.0,2,3221.0,1.0,1.0,649.67,0.25,320.17,349.5,193.48,30.45,5.0,59.0,21.0,898.6000000000001
141.0,2,2765.0,1.0,1.0,511.42,0.41,285.83,364.5,149.36,73.57,40.34,57.0,28.0,913.6
142.0,4,3097.0,1.0,0.0,-12.11,0.98,391.63,152.25,131.47,18.67,5.78,65.0,46.0,699.8
143.0,4,1266.0,2.0,1.0,210.71,0.66,213.04,138.35,287.5,19.56,42.23,30.0,-2.0,700.68
144.0,3,1721.8,4.0,1.0,-42.45,1.02,146.36,353.95,220.04,121.8,42.01,26.0,6.0,884.16
145.0,2,1807.0,4.0,1.0,-44.78,1.03,345.73,18.9,180.48,35.34,19.78,36.0,16.0,600.23
146.0,1,2554.0,1.0,1.0,-96.11,1.12,144.36,-11.1,381.85,47.23,12.78,30.0,-3.0,575.12
147.0,3,2342.0,4.0,1.0,72.8,0.85,272.72,97.8,177.7,48.12,57.79,33.0,9.0,654.13
148.0,2,2951.0,3.0,1.0,374.41,0.43,116.69,123.9,173.81,131.47,151.25,62.0,25.0,697.12
149.0,3,2649.0,3.0,1.0,521.99,0.09,522.1,15.0,44.12,9.89,7.89,50.0,16.0,599.0
150.0,1,984.0,4.0,1.0,255.71,0.63,64.9,197.25,29.56,18.56,451.53,22.0,-5.0,761.8
151.0,2,3686.0,4.0,0.0,463.54,0.47,264.94,426.75,167.81,30.45,31.34,68.0,45.0,921.2900000000001
152.0,2,1146.0,3.0,1.0,433.97,0.48,165.03,358.95,241.38,6.89,106.91,32.0,-7.0,879.16
153.0,2,1753.0,4.0,0.0,10.34,0.97,125.8,785.7,79.57,136.47,101.13,27.0,-8.0,1228.67
154.0,3,1684.0,3.0,1.0,-40.55,1.03,423.08,-15.55,129.47,8.78,11.78,35.0,9.0,557.56
155.0,3,2333.0,2.0,0.0,477.21,0.12,512.32,-10.0,58.9,3.89,4.0,49.0,30.0,569.11
156.0,3,1354.0,3.0,0.0,589.33,0.43,100.13,614.55,321.84,-0.11,48.23,24.0,-6.0,1084.64
157.0,2,3825.0,4.0,0.0,130.04,0.78,321.95,175.6,189.59,20.56,3.78,67.0,35.0,711.4799999999999
158.0,3,1181.0,3.0,1.0,343.07,0.44,395.52,93.35,135.36,12.78,14.67,34.0,6.0,651.68
159.0,3,3044.0,2.0,1.0,413.31,0.22,484.98,-35.0,71.79,26.56,11.67,58.0,18.0,559.9999999999999
160.0,3,2234.0,2.0,1.0,-52.0,1.05,497.76,-15.0,91.35,7.89,-12.0,42.0,22.0,570.0
161.0,3,3082.0,4.0,1.0,509.11,0.06,551.66,-15.55,28.45,7.0,-3.0,44.0,11.0,568.5600000000001
162.0,3,2285.0,1.0,0.0,471.21,0.25,349.4,87.8,142.47,9.78,68.79,39.0,-2.0,658.2399999999999
163.0,3,1652.0,1.0,1.0,423.64,0.3,429.97,63.35,124.69,18.67,1.89,40.0,8.0,638.5699999999999
164.0,2,2412.0,4.0,1.0,103.02,0.81,416.08,128.35,127.47,7.89,-4.11,43.0,18.0,675.68
165.0,3,1402.0,2.0,1.0,269.61,0.51,282.72,38.35,249.38,18.56,6.67,31.0,12.0,595.68
166.0,3,2155.0,4.0,0.0,446.08,0.26,429.97,64.45,117.8,12.67,10.67,42.0,7.0,635.56
167.0,1,3617.0,4.0,1.0,493.43,0.52,120.8,599.0,160.14,128.69,80.57,65.0,44.0,1089.1999999999998
168.0,3,3994.0,2.0,0.0,188.93,0.67,228.6,97.25,284.61,14.67,25.67,75.0,55.0,650.8
169.0,2,927.0,4.0,1.0,205.16,0.72,158.03,313.4,245.38,93.13,9.89,19.0,-20.0,819.8299999999999
170.0,3,3196.0,3.0,0.0,211.84,0.58,249.38,-10.55,311.17,4.78,3.78,63.0,35.0,558.56
171.0,1,3916.0,4.0,0.0,455.87,0.4,182.7,274.5,212.93,23.67,106.8,75.0,43.0,800.5999999999999
173.0,2,2609.0,4.0,1.0,437.31,0.29,342.51,88.35,176.81,7.78,39.23,56.0,27.0,654.6800000000001
174.0,2,2902.0,2.0,1.0,5.34,0.96,256.05,342.85,132.47,40.34,70.68,50.0,27.0,842.3900000000001
175.0,4,1664.0,1.0,1.0,38.01,0.9,458.31,63.9,99.24,1.89,2.78,37.0,11.0,626.12
176.0,2,2854.0,4.0,1.0,360.63,0.32,389.85,-5.0,151.03,24.45,5.78,50.0,11.0,566.11
177.0,3,3198.0,4.0,0.0,-57.9,1.05,236.49,88.9,230.82,57.9,63.9,48.0,17.0,678.01
178.0,2,2103.0,3.0,1.0,453.2,0.28,455.42,78.35,104.13,3.0,19.78,53.0,24.0,660.68
179.0,3,1979.0,3.0,1.0,74.35,0.86,324.06,113.35,216.93,11.67,25.67,40.0,12.0,691.6799999999998
180.0,2,1739.0,3.0,0.0,284.07,0.6,99.02,263.95,158.03,45.12,209.04,34.0,2.0,775.16
181.0,3,3234.0,3.0,0.0,61.13,0.91,162.81,397.85,242.38,76.68,38.45,72.0,36.0,918.1700000000001
182.0,2,4091.0,1.0,0.0,-25.66,1.0,263.05,363.4,220.93,28.56,-0.22,75.0,41.0,875.72
183.0,2,826.0,1.0,0.0,133.92,0.86,158.92,634.0,207.26,73.57,23.45,25.0,4.0,1097.2
184.0,3,2195.0,2.0,1.0,465.65,0.22,431.86,59.45,129.58,6.89,-0.22,43.0,4.0,627.56
185.0,2,2419.0,4.0,1.0,-62.23,1.07,264.428,253.95,230.6,5.89,43.12,32.0,9.0,797.9879999999999
186.0,3,1020.0,1.0,1.0,426.64,0.27,451.64,53.35,101.02,1.89,14.67,34.0,1.0,622.5699999999999
187.0,1,1247.0,2.0,1.0,-128.24,1.07,33.23,1026.3,82.57,75.68,212.15,17.0,-6.0,1429.93
188.0,4,1924.0,4.0,1.0,422.99,0.19,461.2,-10.55,92.13,3.89,7.89,34.0,2.0,554.56
189.0,3,3035.0,3.0,1.0,201.82,0.79,233.71,560.65,200.26,6.89,56.01,65.0,26.0,1057.52
190.0,3,3057.0,2.0,1.0,9.34,0.94,314.95,24.45,129.58,9.89,120.69,62.0,32.0,599.56
191.0,3,2620.0,4.0,1.0,18.34,0.93,532.88,34.45,29.34,11.89,-1.0,45.0,7.0,607.5600000000001
192.0,1,1486.0,2.0,0.0,872.07,0.12,106.02,587.9,76.46,22.45,225.6,22.0,2.0,1018.4300000000001
193.0,3,3544.0,4.0,1.0,436.42,0.25,421.3,34.45,150.14,-6.0,17.67,64.0,26.0,617.56
194.0,4,2549.0,2.0,1.0,-25.0,1.0,491.87,39.45,80.35,5.89,6.0,41.0,16.0,623.5600000000001
195.0,3,2349.0,4.0,1.0,-101.0,1.14,469.31,-65.0,115.8,11.024000000000001,11.0,38.0,12.0,542.134
196.0,3,3115.0,4.0,0.0,379.63,0.39,346.62,68.9,199.37,20.67,31.56,58.0,28.0,667.1199999999999
197.0,3,3806.0,4.0,1.0,-51.54,1.05,499.76,-25.55,60.9,22.56,2.0,73.0,51.0,559.67
198.0,4,3746.0,3.0,0.0,168.71,0.66,211.93,-5.55,289.5,58.01,12.67,71.0,45.0,566.56
199.0,3,3333.0,4.0,1.0,-30.78,1.01,488.87,8.9,64.68,5.78,7.89,61.0,40.0,576.12
200.0,3,3221.0,4.0,1.0,278.38,0.62,290.39,271.15,195.26,9.89,32.23,58.0,38.0,798.92
201.0,3,1938.0,1.0,1.0,303.09,0.38,390.52,-30.55,167.81,-1.11,-0.11,31.0,4.0,526.56
202.0,1,2686.0,3.0,1.0,263.62,0.62,344.73,244.5,128.47,48.01,3.89,63.0,38.0,769.6
203.0,3,2544.0,4.0,1.0,183.26,0.84,163.03,927.4,159.92,45.23,34.34,56.0,29.0,1329.92
204.0,2,1592.0,3.0,1.0,50.9,0.88,185.7,53.35,267.94,67.79,42.01,31.0,11.0,616.79
205.0,2,2782.0,1.0,1.0,-122.24,1.13,314.28,200.05,134.36,34.23,63.01,55.0,22.0,745.93
206.0,2,1968.0,3.0,1.0,328.73,0.46,343.62,63.9,170.81,30.34,40.45,33.0,-7.0,649.12
207.0,2,2900.0,1.0,0.0,260.72,0.64,178.59,258.95,240.49,89.46,17.67,64.0,26.0,785.16
208.0,3,3960.0,3.0,0.0,45.02,0.89,313.28,58.35,245.49,11.67,12.89,71.0,52.0,641.68
209.0,2,3032.0,4.0,1.0,410.86,0.43,263.27,215.6,213.04,24.56,43.01,51.0,27.0,759.4799999999999
210.0,2,873.0,1.0,1.0,63.35,0.89,181.59,275.6,262.05,-3.0,84.24,32.0,1.0,800.48
211.0,3,2343.0,1.0,1.0,431.33,0.18,508.43,-30.55,65.9,5.78,9.0,54.0,22.0,558.56
212.0,3,2400.0,4.0,1.0,-60.0,1.06,543.77,50.0,39.23,-7.0,-7.0,48.0,25.0,619.0
213.0,3,3083.0,4.0,1.0,496.65,0.21,444.64,84.45,126.69,10.89,-6.11,56.0,26.0,660.56
214.0,1,2439.0,1.0,1.0,-146.91,1.21,263.16,-5.0,215.93,48.12,68.79,46.0,26.0,591.0
215.0,4,1609.0,1.0,1.0,443.09,0.24,477.09,35.0,101.02,-4.0,3.0,40.0,17.0,612.1099999999999
216.0,3,2106.0,1.0,1.0,324.4,0.58,368.96,281.15,139.47,34.45,14.89,49.0,17.0,838.92
217.0,3,2736.0,3.0,1.0,391.2,0.32,382.85,33.35,178.81,14.67,2.0,58.0,34.0,611.68
218.0,3,1363.0,4.0,1.0,312.73,0.45,299.39,39.45,221.93,24.45,23.34,26.0,3.0,608.5600000000001
219.0,2,3012.0,4.0,1.0,57.23,0.88,485.87,94.45,84.46,3.89,-6.11,49.0,24.0,662.5600000000001
220.0,2,1342.0,4.0,1.0,31.01,0.93,189.59,240.6,249.38,56.01,63.9,23.0,-8.0,799.4799999999999
221.0,2,4031.0,1.0,1.0,249.05,0.66,320.17,264.5,154.25,11.78,57.9,68.0,42.0,808.6
222.0,4,3738.0,3.0,1.0,-25.0,1.0,533.1,84.45,43.12,0.89,5.89,72.0,40.0,667.45
223.0,3,1934.0,4.0,1.0,183.92,0.72,425.86,216.7,87.24,8.89,16.67,45.0,22.0,755.3599999999999
224.0,3,1757.0,4.0,0.0,436.53,0.4,436.97,187.8,114.91,5.78,18.78,49.0,16.0,764.2399999999999
225.0,2,2746.0,1.0,1.0,511.54,0.23,401.41,123.35,134.58,12.78,24.56,40.0,9.0,696.68
226.0,3,2469.0,1.0,1.0,-47.0,1.04,532.99,-15.0,47.01,4.0,8.0,48.0,10.0,577.0
227.0,3,3643.0,2.0,0.0,84.02,0.84,317.17,93.35,209.93,34.45,18.78,69.0,30.0,673.6800000000001
228.0,2,1607.0,4.0,1.0,807.72,0.0,333.95,323.4,84.35,44.12,46.9,34.0,-1.0,832.7199999999999
229.0,3,1109.0,4.0,0.0,-189.25,1.2,247.38,256.15,146.25,106.13,58.12,29.0,10.0,814.03
